run_id,commit_sha,commit_message,status,workflow_duration,job_name,job_duration,test_count,test_failures,timestamp
27016451868,ebe48e46630c,add ci/cd,success,27.0,lint,8.0,27,0,2026-06-05T13:03:07Z
27016451868,ebe48e46630c,add ci/cd,success,27.0,test_par,14.0,27,0,2026-06-05T13:03:07Z
27016451868,ebe48e46630c,add ci/cd,success,27.0,test_seq,-1.0,27,0,2026-06-05T13:03:07Z
27016451868,ebe48e46630c,add ci/cd,success,27.0,build,5.0,27,0,2026-06-05T13:03:07Z
27016387209,ebe48e46630c,add ci/cd,failure,41.0,lint,10.0,8,1,2026-06-05T13:01:44Z
27016387209,ebe48e46630c,add ci/cd,failure,41.0,test_par,0.0,8,1,2026-06-05T13:01:44Z
27016387209,ebe48e46630c,add ci/cd,failure,41.0,test_seq,13.0,8,1,2026-06-05T13:01:44Z
27016387209,ebe48e46630c,add ci/cd,failure,41.0,build,7.0,8,1,2026-06-05T13:01:44Z
27016318048,ebe48e46630c,add ci/cd,failure,25.0,lint,10.0,8,1,2026-06-05T13:00:20Z
27016318048,ebe48e46630c,add ci/cd,failure,25.0,test_par,13.0,8,1,2026-06-05T13:00:20Z
27016318048,ebe48e46630c,add ci/cd,failure,25.0,test_seq,0.0,8,1,2026-06-05T13:00:20Z
27016318048,ebe48e46630c,add ci/cd,failure,25.0,build,4.0,8,1,2026-06-05T13:00:20Z
27016258597,ebe48e46630c,add ci/cd,success,25.0,test_par,14.0,8,0,2026-06-05T12:59:06Z
27016258597,ebe48e46630c,add ci/cd,success,25.0,lint,7.0,8,0,2026-06-05T12:59:06Z
27016258597,ebe48e46630c,add ci/cd,success,25.0,test_seq,-1.0,8,0,2026-06-05T12:59:06Z
27016258597,ebe48e46630c,add ci/cd,success,25.0,build,4.0,8,0,2026-06-05T12:59:06Z
27016196210,ebe48e46630c,add ci/cd,success,32.0,lint,10.0,27,0,2026-06-05T12:57:46Z
27016196210,ebe48e46630c,add ci/cd,success,32.0,test_par,0.0,27,0,2026-06-05T12:57:46Z
27016196210,ebe48e46630c,add ci/cd,success,32.0,test_seq,8.0,27,0,2026-06-05T12:57:46Z
27016196210,ebe48e46630c,add ci/cd,success,32.0,build,4.0,27,0,2026-06-05T12:57:46Z
27016089433,ebe48e46630c,add ci/cd,success,24.0,test_par,10.0,27,0,2026-06-05T12:55:28Z
27016089433,ebe48e46630c,add ci/cd,success,24.0,lint,12.0,27,0,2026-06-05T12:55:28Z
27016089433,ebe48e46630c,add ci/cd,success,24.0,build,4.0,27,0,2026-06-05T12:55:28Z
27016089433,ebe48e46630c,add ci/cd,success,24.0,test_seq,-1.0,27,0,2026-06-05T12:55:28Z
27016037040,ebe48e46630c,add ci/cd,success,24.0,test_par,13.0,12,0,2026-06-05T12:54:21Z
27016037040,ebe48e46630c,add ci/cd,success,24.0,lint,8.0,12,0,2026-06-05T12:54:21Z
27016037040,ebe48e46630c,add ci/cd,success,24.0,test_seq,0.0,12,0,2026-06-05T12:54:21Z
27016037040,ebe48e46630c,add ci/cd,success,24.0,build,4.0,12,0,2026-06-05T12:54:21Z
27015968537,ebe48e46630c,add ci/cd,success,34.0,lint,7.0,8,0,2026-06-05T12:52:53Z
27015968537,ebe48e46630c,add ci/cd,success,34.0,test_par,-1.0,8,0,2026-06-05T12:52:53Z
27015968537,ebe48e46630c,add ci/cd,success,34.0,test_seq,9.0,8,0,2026-06-05T12:52:53Z
27015968537,ebe48e46630c,add ci/cd,success,34.0,build,7.0,8,0,2026-06-05T12:52:53Z
27015866085,ebe48e46630c,add ci/cd,success,26.0,lint,9.0,8,0,2026-06-05T12:50:41Z
27015866085,ebe48e46630c,add ci/cd,success,26.0,test_par,13.0,8,0,2026-06-05T12:50:41Z
27015866085,ebe48e46630c,add ci/cd,success,26.0,test_seq,0.0,8,0,2026-06-05T12:50:41Z
27015866085,ebe48e46630c,add ci/cd,success,26.0,build,5.0,8,0,2026-06-05T12:50:41Z
27015764881,ebe48e46630c,add ci/cd,success,35.0,lint,9.0,8,0,2026-06-05T12:48:30Z
27015764881,ebe48e46630c,add ci/cd,success,35.0,test_par,0.0,8,0,2026-06-05T12:48:30Z
27015764881,ebe48e46630c,add ci/cd,success,35.0,test_seq,13.0,8,0,2026-06-05T12:48:30Z
27015764881,ebe48e46630c,add ci/cd,success,35.0,build,4.0,8,0,2026-06-05T12:48:30Z
27015628354,ebe48e46630c,add ci/cd,success,22.0,lint,8.0,8,0,2026-06-05T12:47:14Z
27015628354,ebe48e46630c,add ci/cd,success,22.0,test_par,8.0,8,0,2026-06-05T12:47:14Z
27015628354,ebe48e46630c,add ci/cd,success,22.0,build,6.0,8,0,2026-06-05T12:47:14Z
27015628354,ebe48e46630c,add ci/cd,success,22.0,test_seq,-1.0,8,0,2026-06-05T12:47:14Z
